lr-Adam,step,training_loss,epoch,val_loss,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
,1247,,5,-0.08381211012601852,0.24064607918262482,,,,,,,,,
0.01,1259,,,,,,,,,,,,,
,1259,-14.4779052734375,6,,,,,,,,,,,
0.01,1279,,,,,,,,,,,,,
,1279,-119.83364868164062,6,,,,,,,,,,,
0.01,1299,,,,,,,,,,,,,
,1299,57.58868408203125,6,,,,,,,,,,,
0.01,1319,,,,,,,,,,,,,
,1319,25.713380813598633,6,,,,,,,,,,,
0.01,1339,,,,,,,,,,,,,
,1339,-135.9716339111328,6,,,,,,,,,,,
,1351,,6,-0.0835375189781189,0.24055899679660797,,,,,,,,,
0.01,1359,,,,,,,,,,,,,
,1359,12.742159843444824,6,,,,,,,,,,,
0.01,1379,,,,,,,,,,,,,
,1379,59.9667854309082,6,,,,,,,,,,,
0.01,1399,,,,,,,,,,,,,
,1399,-144.22036743164062,6,,,,,,,,,,,
0.01,1419,,,,,,,,,,,,,
,1419,-128.75161743164062,6,,,,,,,,,,,
0.01,1439,,,,,,,,,,,,,
,1439,-122.75154113769531,6,,,,,,,,,,,
,1455,,6,-0.0671386644244194,0.24265636503696442,,,,,,,,,
0.01,1459,,,,,,,,,,,,,
,1459,-45.653297424316406,7,,,,,,,,,,,
0.01,1479,,,,,,,,,,,,,
,1479,-105.72166442871094,7,,,,,,,,,,,
0.01,1499,,,,,,,,,,,,,
,1499,-203.46322631835938,7,,,,,,,,,,,
0.01,1519,,,,,,,,,,,,,
,1519,-50.980308532714844,7,,,,,,,,,,,
0.01,1539,,,,,,,,,,,,,
,1539,-74.19276428222656,7,,,,,,,,,,,
0.01,1559,,,,,,,,,,,,,
,1559,-1.786167860031128,7,,,,,,,,,,,
,1559,,7,-0.08462981134653091,0.24066515266895294,,,,,,,,,
0.01,1579,,,,,,,,,,,,,
,1579,91.50180053710938,7,,,,,,,,,,,
0.01,1599,,,,,,,,,,,,,
,1599,-58.421993255615234,7,,,,,,,,,,,
0.01,1619,,,,,,,,,,,,,
,1619,-132.2791748046875,7,,,,,,,,,,,
0.01,1639,,,,,,,,,,,,,
,1639,-78.265625,7,,,,,,,,,,,
0.01,1659,,,,,,,,,,,,,
,1659,-125.15693664550781,7,,,,,,,,,,,
,1663,,7,-0.07561564445495605,0.24117843806743622,,,,,,,,,
0.001,1679,,,,,,,,,,,,,
,1679,122.82270812988281,8,,,,,,,,,,,
0.001,1699,,,,,,,,,,,,,
,1699,-125.67473602294922,8,,,,,,,,,,,
0.001,1719,,,,,,,,,,,,,
,1719,-36.988548278808594,8,,,,,,,,,,,
0.001,1739,,,,,,,,,,,,,
,1739,-103.64728546142578,8,,,,,,,,,,,
0.001,1759,,,,,,,,,,,,,
,1759,-37.049354553222656,8,,,,,,,,,,,
