lr-Adam,step,training_loss,pred_loss,update_loss,epoch,val_loss,val_loss_pred,val_loss_update,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
0.01,19,,,,,,,,,,,,,,,,,
,19,667.4205322265625,666.695556640625,724.9852294921875,0,,,,,,,,,,,,,
0.01,39,,,,,,,,,,,,,,,,,
,39,204.99293518066406,204.9642333984375,28.69751739501953,0,,,,,,,,,,,,,
0.01,59,,,,,,,,,,,,,,,,,
,59,421.5538330078125,421.54498291015625,8.841846466064453,0,,,,,,,,,,,,,
0.01,79,,,,,,,,,,,,,,,,,
,79,489.4230041503906,489.50482177734375,-81.80813598632812,0,,,,,,,,,,,,,
0.01,99,,,,,,,,,,,,,,,,,
,99,-20.893831253051758,-20.471364974975586,-422.466552734375,0,,,,,,,,,,,,,
,103,,,,0,-644.491943359375,-624.5962524414062,-19895.662109375,41.74198532104492,,,,,,,,,
0.01,119,,,,,,,,,,,,,,,,,
,119,128.60784912109375,129.1155548095703,-507.7044372558594,0,,,,,,,,,,,,,
0.01,139,,,,,,,,,,,,,,,,,
,139,-172.00448608398438,-171.24545288085938,-759.0340576171875,0,,,,,,,,,,,,,
0.01,159,,,,,,,,,,,,,,,,,
,159,122.54845428466797,123.00338745117188,-454.9321594238281,0,,,,,,,,,,,,,
0.01,179,,,,,,,,,,,,,,,,,
,179,3.378201484680176,4.08831787109375,-710.1163330078125,0,,,,,,,,,,,,,
0.01,199,,,,,,,,,,,,,,,,,
,199,-60.0479850769043,-59.378578186035156,-669.4058837890625,0,,,,,,,,,,,,,
,207,,,,0,-2183.071533203125,-2156.705810546875,-26365.69921875,40.29697799682617,,,,,,,,,
0.01,219,,,,,,,,,,,,,,,,,
,219,11.938570022583008,12.658706665039062,-720.1365966796875,1,,,,,,,,,,,,,
0.01,239,,,,,,,,,,,,,,,,,
