lr-Adam,step,training_loss,pred_loss,update_loss,epoch,val_loss,val_loss_pred,val_loss_update,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
0.01,19,,,,,,,,,,,,,,,,,
,19,556.5863647460938,556.1517333984375,434.6037902832031,0,,,,,,,,,,,,,
0.01,39,,,,,,,,,,,,,,,,,
,39,191.80606079101562,191.93115234375,-125.08491516113281,0,,,,,,,,,,,,,
0.01,59,,,,,,,,,,,,,,,,,
,59,338.1044921875,338.24127197265625,-136.76968383789062,0,,,,,,,,,,,,,
0.01,79,,,,,,,,,,,,,,,,,
,79,329.0925598144531,329.3100891113281,-217.52517700195312,0,,,,,,,,,,,,,
0.01,99,,,,,,,,,,,,,,,,,
,99,-29.272058486938477,-28.808210372924805,-463.84844970703125,0,,,,,,,,,,,,,
,103,,,,0,-1832.3878173828125,-1813.01513671875,-19372.93359375,41.15934753417969,,,,,,,,,
0.01,119,,,,,,,,,,,,,,,,,
,119,92.88703918457031,93.48171997070312,-594.683349609375,0,,,,,,,,,,,,,
0.01,139,,,,,,,,,,,,,,,,,
,139,-82.53785705566406,-81.94520568847656,-592.6514282226562,0,,,,,,,,,,,,,
0.01,159,,,,,,,,,,,,,,,,,
,159,105.68905639648438,106.15278625488281,-463.726806640625,0,,,,,,,,,,,,,
0.01,179,,,,,,,,,,,,,,,,,
,179,29.69217300415039,30.253353118896484,-561.179443359375,0,,,,,,,,,,,,,
0.01,199,,,,,,,,,,,,,,,,,
,199,-129.26402282714844,-128.61868286132812,-645.3334350585938,0,,,,,,,,,,,,,
,207,,,,0,-2712.048583984375,-2693.594482421875,-18454.017578125,40.39949035644531,,,,,,,,,
0.01,219,,,,,,,,,,,,,,,,,
,219,-32.37807083129883,-31.85856056213379,-519.5113525390625,1,,,,,,,,,,,,,
0.01,239,,,,,,,,,,,,,,,,,
,239,-73.3921127319336,-72.72541809082031,-666.6945190429688,1,,,,,,,,,,,,,
0.01,259,,,,,,,,,,,,,,,,,
,259,48.7390022277832,49.29649353027344,-557.491455078125,1,,,,,,,,,,,,,
0.01,279,,,,,,,,,,,,,,,,,
,279,68.35298919677734,68.94580078125,-592.8148193359375,1,,,,,,,,,,,,,
0.01,299,,,,,,,,,,,,,,,,,
,299,-73.00148010253906,-72.35929870605469,-642.1846313476562,1,,,,,,,,,,,,,
,311,,,,1,-3298.515625,-3278.687255859375,-19828.6640625,39.545310974121094,,,,,,,,,
0.01,319,,,,,,,,,,,,,,,,,
,319,-5.505268096923828,-4.955243110656738,-550.0250244140625,1,,,,,,,,,,,,,
0.01,339,,,,,,,,,,,,,,,,,
,339,77.95420837402344,78.473388671875,-519.1812744140625,1,,,,,,,,,,,,,
0.01,359,,,,,,,,,,,,,,,,,
,359,-144.2457733154297,-143.63783264160156,-607.9451904296875,1,,,,,,,,,,,,,
0.01,379,,,,,,,,,,,,,,,,,
,379,-98.15933990478516,-97.30818176269531,-851.1571044921875,1,,,,,,,,,,,,,
0.01,399,,,,,,,,,,,,,,,,,
,399,-37.46144485473633,-36.78276062011719,-678.6837158203125,1,,,,,,,,,,,,,
