lr-Adam,step,training_loss,pred_loss,update_loss,epoch,val_loss,val_loss_pred,val_loss_update,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
0.01,19,,,,,,,,,,,,,,,,,
,19,669.1061401367188,668.5365600585938,569.59765625,0,,,,,,,,,,,,,
0.01,39,,,,,,,,,,,,,,,,,
,39,228.51541137695312,228.70651245117188,-191.10435485839844,0,,,,,,,,,,,,,
0.01,59,,,,,,,,,,,,,,,,,
,59,463.6523132324219,463.64501953125,7.300785064697266,0,,,,,,,,,,,,,
0.01,79,,,,,,,,,,,,,,,,,
,79,560.3511962890625,560.41064453125,-59.43461227416992,0,,,,,,,,,,,,,
0.01,99,,,,,,,,,,,,,,,,,
,99,47.33494567871094,47.65654754638672,-321.60205078125,0,,,,,,,,,,,,,
,103,,,,0,1899.654052734375,1915.412109375,-15757.9580078125,42.02183532714844,,,,,,,,,
0.01,119,,,,,,,,,,,,,,,,,
,119,264.968017578125,265.2708740234375,-302.86749267578125,0,,,,,,,,,,,,,
0.01,139,,,,,,,,,,,,,,,,,
,139,9.487298011779785,9.968761444091797,-481.4635314941406,0,,,,,,,,,,,,,
0.01,159,,,,,,,,,,,,,,,,,
,159,125.13286590576172,125.47714233398438,-344.27838134765625,0,,,,,,,,,,,,,
0.01,179,,,,,,,,,,,,,,,,,
,179,84.12042999267578,84.6407699584961,-520.3411865234375,0,,,,,,,,,,,,,
0.01,199,,,,,,,,,,,,,,,,,
,199,-81.71441650390625,-81.19451904296875,-519.898681640625,0,,,,,,,,,,,,,
,207,,,,0,-1172.51025390625,-1154.5672607421875,-17942.93359375,42.400787353515625,,,,,,,,,
0.01,219,,,,,,,,,,,,,,,,,
,219,58.52889633178711,59.003196716308594,-474.29901123046875,1,,,,,,,,,,,,,
0.01,239,,,,,,,,,,,,,,,,,
,239,24.312150955200195,24.945219039916992,-633.0674438476562,1,,,,,,,,,,,,,
0.01,259,,,,,,,,,,,,,,,,,
