lr-Adam,step,training_loss,pred_loss,update_loss,epoch,val_loss,val_loss_pred,val_loss_update,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
,819,-205.26634216308594,-204.54592895507812,-720.4180908203125,3,,,,,,,,,,,,,
,831,,,,3,-4767.34033203125,-4745.544921875,-21795.671875,39.293819427490234,,,,,,,,,
0.01,839,,,,,,,,,,,,,,,,,
,839,36.54962158203125,37.345394134521484,-795.7737426757812,4,,,,,,,,,,,,,
0.01,859,,,,,,,,,,,,,,,,,
,859,-239.77598571777344,-238.9598388671875,-816.143310546875,4,,,,,,,,,,,,,
0.01,879,,,,,,,,,,,,,,,,,
,879,-211.53485107421875,-210.6944580078125,-840.3866577148438,4,,,,,,,,,,,,,
0.01,899,,,,,,,,,,,,,,,,,
,899,-293.0811462402344,-292.06201171875,-1019.1256713867188,4,,,,,,,,,,,,,
0.01,919,,,,,,,,,,,,,,,,,
,919,-160.495849609375,-159.64935302734375,-846.499267578125,4,,,,,,,,,,,,,
,935,,,,4,-5615.56689453125,-5592.59033203125,-22976.91796875,38.34371566772461,,,,,,,,,
0.01,939,,,,,,,,,,,,,,,,,
,939,-6.453524112701416,-5.745096206665039,-708.4280395507812,4,,,,,,,,,,,,,
0.01,959,,,,,,,,,,,,,,,,,
,959,-186.59268188476562,-185.76025390625,-832.42822265625,4,,,,,,,,,,,,,
0.01,979,,,,,,,,,,,,,,,,,
,979,-287.5629577636719,-286.52313232421875,-1039.8275146484375,4,,,,,,,,,,,,,
0.01,999,,,,,,,,,,,,,,,,,
,999,-36.07374954223633,-35.58681869506836,-486.9311828613281,4,,,,,,,,,,,,,
0.01,1019,,,,,,,,,,,,,,,,,
,1019,-52.42730712890625,-51.6581916809082,-769.114013671875,4,,,,,,,,,,,,,
0.01,1039,,,,,,,,,,,,,,,,,
,1039,-74.1793212890625,-73.63216400146484,-547.158447265625,4,,,,,,,,,,,,,
,1039,,,,4,-4951.68896484375,-4930.13427734375,-21554.86328125,39.315242767333984,,,,,,,,,
0.001,1059,,,,,,,,,,,,,,,,,
,1059,-124.82892608642578,-124.20378112792969,-625.1470947265625,5,,,,,,,,,,,,,
0.001,1079,,,,,,,,,,,,,,,,,
,1079,-237.16444396972656,-236.3140869140625,-850.353271484375,5,,,,,,,,,,,,,
0.001,1099,,,,,,,,,,,,,,,,,
,1099,-77.53569030761719,-76.90302276611328,-632.6641235351562,5,,,,,,,,,,,,,
0.001,1119,,,,,,,,,,,,,,,,,
,1119,52.043846130371094,52.7336311340332,-689.78515625,5,,,,,,,,,,,,,
0.001,1139,,,,,,,,,,,,,,,,,
,1139,-231.98121643066406,-231.26873779296875,-712.4849853515625,5,,,,,,,,,,,,,
,1143,,,,5,-5999.220703125,-5976.22509765625,-22995.244140625,38.19730758666992,,,,,,,,,
0.001,1159,,,,,,,,,,,,,,,,,
,1159,-181.8389434814453,-181.0294952392578,-809.4462890625,5,,,,,,,,,,,,,
0.001,1179,,,,,,,,,,,,,,,,,
,1179,-334.59307861328125,-333.6397705078125,-953.3027954101562,5,,,,,,,,,,,,,
0.001,1199,,,,,,,,,,,,,,,,,
,1199,30.422672271728516,30.949317932128906,-526.645751953125,5,,,,,,,,,,,,,
0.001,1219,,,,,,,,,,,,,,,,,
,1219,-140.357421875,-139.5225372314453,-834.8885498046875,5,,,,,,,,,,,,,
0.001,1239,,,,,,,,,,,,,,,,,
,1239,-229.79022216796875,-229.08255004882812,-707.67578125,5,,,,,,,,,,,,,
,1247,,,,5,-6088.12646484375,-6064.615234375,-23511.53515625,37.89505386352539,,,,,,,,,
0.001,1259,,,,,,,,,,,,,,,,,
,1259,-129.88035583496094,-129.1616973876953,-718.6591796875,6,,,,,,,,,,,,,
0.001,1279,,,,,,,,,,,,,,,,,
,1279,-249.12490844726562,-248.20040893554688,-924.4934692382812,6,,,,,,,,,,,,,
0.001,1299,,,,,,,,,,,,,,,,,
,1299,-91.28219604492188,-90.62277221679688,-659.4215087890625,6,,,,,,,,,,,,,
0.001,1319,,,,,,,,,,,,,,,,,
,1319,-83.43267822265625,-82.7493896484375,-683.2904052734375,6,,,,,,,,,,,,,
0.001,1339,,,,,,,,,,,,,,,,,
,1339,-239.080810546875,-238.252685546875,-828.126953125,6,,,,,,,,,,,,,
,1351,,,,6,-6074.25146484375,-6051.1533203125,-23098.2265625,38.105350494384766,,,,,,,,,
0.001,1359,,,,,,,,,,,,,,,,,
,1359,-143.3662872314453,-142.61102294921875,-755.2666015625,6,,,,,,,,,,,,,
0.001,1379,,,,,,,,,,,,,,,,,
,1379,-44.698673248291016,-43.990238189697266,-708.4344482421875,6,,,,,,,,,,,,,
0.001,1399,,,,,,,,,,,,,,,,,
,1399,-260.13824462890625,-259.3321533203125,-806.0997314453125,6,,,,,,,,,,,,,
0.001,1419,,,,,,,,,,,,,,,,,
