lr-Adam,step,training_loss,pred_loss,update_loss,epoch,val_loss,val_loss_pred,val_loss_update,val_rmse,test_loss,test_rmse,test_var_pit,test_crps,test_ignorance,test_int_score,int_coverage,int_med_width,int_av_width
0.01,19,,,,,,,,,,,,,,,,,
,19,776.4991455078125,775.6287841796875,870.3775634765625,0,,,,,,,,,,,,,
0.01,39,,,,,,,,,,,,,,,,,
,39,304.6184997558594,304.337158203125,281.34002685546875,0,,,,,,,,,,,,,
0.01,59,,,,,,,,,,,,,,,,,
,59,395.7716979980469,395.7060852050781,65.60675048828125,0,,,,,,,,,,,,,
0.01,79,,,,,,,,,,,,,,,,,
,79,457.8045959472656,458.03765869140625,-233.07765197753906,0,,,,,,,,,,,,,
0.01,99,,,,,,,,,,,,,,,,,
,99,-76.8731918334961,-76.20988464355469,-663.3037719726562,0,,,,,,,,,,,,,
,103,,,,0,-2622.525146484375,-2596.61083984375,-25914.44921875,40.51603698730469,,,,,,,,,
0.01,119,,,,,,,,,,,,,,,,,
,119,40.85652160644531,41.787166595458984,-930.644287109375,0,,,,,,,,,,,,,
0.01,139,,,,,,,,,,,,,,,,,
,139,-192.891845703125,-191.99246215820312,-899.3762817382812,0,,,,,,,,,,,,,
0.01,159,,,,,,,,,,,,,,,,,
,159,80.11819458007812,80.6387939453125,-520.6009521484375,0,,,,,,,,,,,,,
0.01,179,,,,,,,,,,,,,,,,,
,179,-59.03846740722656,-58.096961975097656,-941.50537109375,0,,,,,,,,,,,,,
0.01,199,,,,,,,,,,,,,,,,,
,199,-185.11448669433594,-184.357177734375,-757.3143920898438,0,,,,,,,,,,,,,
,207,,,,0,-3056.503173828125,-3031.672607421875,-24830.4609375,40.81238555908203,,,,,,,,,
0.01,219,,,,,,,,,,,,,,,,,
,219,-85.03060913085938,-84.15638732910156,-874.2252197265625,1,,,,,,,,,,,,,
0.01,239,,,,,,,,,,,,,,,,,
,239,-157.62013244628906,-156.52842712402344,-1091.707763671875,1,,,,,,,,,,,,,
0.01,259,,,,,,,,,,,,,,,,,
,259,-4.510133743286133,-3.6734347343444824,-836.698974609375,1,,,,,,,,,,,,,
0.01,279,,,,,,,,,,,,,,,,,
,279,-21.00747299194336,-20.174501419067383,-832.9708862304688,1,,,,,,,,,,,,,
0.01,299,,,,,,,,,,,,,,,,,
,299,-161.24148559570312,-160.2386016845703,-1002.8770751953125,1,,,,,,,,,,,,,
,311,,,,1,-4565.89306640625,-4534.9423828125,-30951.7578125,38.85466766357422,,,,,,,,,
0.01,319,,,,,,,,,,,,,,,,,
,319,-60.0430793762207,-59.21440505981445,-828.6760864257812,1,,,,,,,,,,,,,
0.01,339,,,,,,,,,,,,,,,,,
,339,48.685264587402344,49.597007751464844,-911.7415771484375,1,,,,,,,,,,,,,
0.01,359,,,,,,,,,,,,,,,,,
,359,-177.12557983398438,-176.1878662109375,-937.7135009765625,1,,,,,,,,,,,,,
0.01,379,,,,,,,,,,,,,,,,,
,379,-227.9398956298828,-226.77462768554688,-1165.274169921875,1,,,,,,,,,,,,,
0.01,399,,,,,,,,,,,,,,,,,
,399,-84.37956237792969,-83.53909301757812,-840.4677734375,1,,,,,,,,,,,,,
,415,,,,1,-4484.38232421875,-4455.3935546875,-28988.779296875,39.35746765136719,,,,,,,,,
0.01,419,,,,,,,,,,,,,,,,,
,419,-205.98719787597656,-205.00912475585938,-978.0679931640625,2,,,,,,,,,,,,,
0.01,439,,,,,,,,,,,,,,,,,
,439,-252.3409881591797,-251.30841064453125,-1032.573974609375,2,,,,,,,,,,,,,
0.01,459,,,,,,,,,,,,,,,,,
,459,-315.59759521484375,-314.4892578125,-1108.343994140625,2,,,,,,,,,,,,,
0.01,479,,,,,,,,,,,,,,,,,
,479,-125.07279968261719,-124.1065673828125,-966.234619140625,2,,,,,,,,,,,,,
0.01,499,,,,,,,,,,,,,,,,,
,499,-119.62330627441406,-118.32681274414062,-1296.4971923828125,2,,,,,,,,,,,,,
0.01,519,,,,,,,,,,,,,,,,,
,519,-85.49459838867188,-84.46958923339844,-1025.01220703125,2,,,,,,,,,,,,,
,519,,,,2,-5203.28662109375,-5169.43310546875,-33853.3046875,38.57282257080078,,,,,,,,,
0.01,539,,,,,,,,,,,,,,,,,
,539,45.828575134277344,46.63264465332031,-804.0682983398438,2,,,,,,,,,,,,,
0.01,559,,,,,,,,,,,,,,,,,
,559,-129.5834197998047,-128.5493621826172,-1034.0616455078125,2,,,,,,,,,,,,,
0.01,579,,,,,,,,,,,,,,,,,
,579,-212.73336791992188,-211.3796844482422,-1353.6785888671875,2,,,,,,,,,,,,,
0.01,599,,,,,,,,,,,,,,,,,
,599,-151.9265899658203,-150.9613800048828,-965.2141723632812,2,,,,,,,,,,,,,
0.01,619,,,,,,,,,,,,,,,,,
,619,-236.3767547607422,-235.1708526611328,-1205.89794921875,2,,,,,,,,,,,,,
,623,,,,2,-5172.25439453125,-5137.36865234375,-34886.12109375,38.96491241455078,,,,,,,,,
0.01,639,,,,,,,,,,,,,,,,,
,639,12.750391006469727,13.756114959716797,-1005.7239379882812,3,,,,,,,,,,,,,
0.01,659,,,,,,,,,,,,,,,,,
,659,-209.18878173828125,-208.0567169189453,-1132.062744140625,3,,,,,,,,,,,,,
0.01,679,,,,,,,,,,,,,,,,,
,679,-85.02783966064453,-84.08499145507812,-942.8504638671875,3,,,,,,,,,,,,,
0.01,699,,,,,,,,,,,,,,,,,
,699,-206.10916137695312,-204.73922729492188,-1369.927001953125,3,,,,,,,,,,,,,
0.01,719,,,,,,,,,,,,,,,,,
,719,-72.039794921875,-70.82260131835938,-1217.197265625,3,,,,,,,,,,,,,
,727,,,,3,-5875.59912109375,-5840.3740234375,-35225.69921875,38.16716766357422,,,,,,,,,
0.01,739,,,,,,,,,,,,,,,,,
,739,-41.595428466796875,-40.44371032714844,-1151.7181396484375,3,,,,,,,,,,,,,
0.01,759,,,,,,,,,,,,,,,,,
,759,-102.69406127929688,-101.79568481445312,-898.373779296875,3,,,,,,,,,,,,,
0.01,779,,,,,,,,,,,,,,,,,
,779,-180.87210083007812,-179.55758666992188,-1314.5130615234375,3,,,,,,,,,,,,,
0.01,799,,,,,,,,,,,,,,,,,
,799,-238.2285919189453,-236.9666290283203,-1261.9659423828125,3,,,,,,,,,,,,,
0.01,819,,,,,,,,,,,,,,,,,
,819,-242.60850524902344,-241.4735107421875,-1134.994384765625,3,,,,,,,,,,,,,
,831,,,,3,-5461.63720703125,-5426.96484375,-34672.55859375,38.48270797729492,,,,,,,,,
0.01,839,,,,,,,,,,,,,,,,,
,839,-2.808553695678711,-1.5402145385742188,-1268.3392333984375,4,,,,,,,,,,,,,
0.01,859,,,,,,,,,,,,,,,,,
,859,-279.0822448730469,-277.8045349121094,-1277.6983642578125,4,,,,,,,,,,,,,
0.01,879,,,,,,,,,,,,,,,,,
,879,-229.2403106689453,-228.05767822265625,-1182.625244140625,4,,,,,,,,,,,,,
0.01,899,,,,,,,,,,,,,,,,,
,899,-281.2944030761719,-279.8756408691406,-1418.761962890625,4,,,,,,,,,,,,,
0.01,919,,,,,,,,,,,,,,,,,
,919,-211.73919677734375,-210.4297332763672,-1309.468994140625,4,,,,,,,,,,,,,
,935,,,,4,-6151.04345703125,-6113.978515625,-37064.8515625,37.96349334716797,,,,,,,,,
0.01,939,,,,,,,,,,,,,,,,,
,939,-49.16041946411133,-47.950408935546875,-1210.0108642578125,4,,,,,,,,,,,,,
0.01,959,,,,,,,,,,,,,,,,,
,959,-223.2377471923828,-221.9763641357422,-1261.38671875,4,,,,,,,,,,,,,
0.01,979,,,,,,,,,,,,,,,,,
,979,-258.8482971191406,-257.5159912109375,-1332.296630859375,4,,,,,,,,,,,,,
0.01,999,,,,,,,,,,,,,,,,,
,999,-73.64620208740234,-72.89789581298828,-748.3041381835938,4,,,,,,,,,,,,,
0.01,1019,,,,,,,,,,,,,,,,,
,1019,-95.28792572021484,-94.22637176513672,-1061.553955078125,4,,,,,,,,,,,,,
0.01,1039,,,,,,,,,,,,,,,,,
,1039,-81.83345031738281,-80.91337585449219,-920.075439453125,4,,,,,,,,,,,,,
,1039,,,,4,-5817.7724609375,-5779.8505859375,-37922.0234375,38.43244171142578,,,,,,,,,
0.01,1059,,,,,,,,,,,,,,,,,
,1059,-120.61639404296875,-119.52640533447266,-1089.98828125,5,,,,,,,,,,,,,
0.01,1079,,,,,,,,,,,,,,,,,
,1079,-216.160400390625,-214.90789794921875,-1252.501708984375,5,,,,,,,,,,,,,
0.01,1099,,,,,,,,,,,,,,,,,
,1099,-107.49166107177734,-106.43685150146484,-1054.80712890625,5,,,,,,,,,,,,,
0.01,1119,,,,,,,,,,,,,,,,,
,1119,26.365047454833984,27.44992446899414,-1084.87744140625,5,,,,,,,,,,,,,
0.01,1139,,,,,,,,,,,,,,,,,
,1139,-235.98675537109375,-234.85267639160156,-1134.073486328125,5,,,,,,,,,,,,,
,1143,,,,5,-6606.40625,-6566.99755859375,-39408.85546875,37.669677734375,,,,,,,,,
0.01,1159,,,,,,,,,,,,,,,,,
,1159,-195.01905822753906,-193.6446075439453,-1374.451904296875,5,,,,,,,,,,,,,
0.01,1179,,,,,,,,,,,,,,,,,
,1179,-371.2406005859375,-369.9383850097656,-1302.2208251953125,5,,,,,,,,,,,,,
0.01,1199,,,,,,,,,,,,,,,,,
,1199,87.47554016113281,88.37127685546875,-895.7386474609375,5,,,,,,,,,,,,,
0.01,1219,,,,,,,,,,,,,,,,,
,1219,-185.9264373779297,-184.638671875,-1287.7703857421875,5,,,,,,,,,,,,,
0.01,1239,,,,,,,,,,,,,,,,,
,1239,-226.61996459960938,-225.61260986328125,-1007.3478393554688,5,,,,,,,,,,,,,
,1247,,,,5,-4392.22900390625,-4358.17822265625,-34050.5078125,39.6809196472168,,,,,,,,,
0.01,1259,,,,,,,,,,,,,,,,,
,1259,-154.00364685058594,-152.81761169433594,-1186.029296875,6,,,,,,,,,,,,,
0.01,1279,,,,,,,,,,,,,,,,,
,1279,-256.5778503417969,-255.20452880859375,-1373.33447265625,6,,,,,,,,,,,,,
0.01,1299,,,,,,,,,,,,,,,,,
,1299,-121.20803833007812,-120.02568054199219,-1182.360595703125,6,,,,,,,,,,,,,
0.01,1319,,,,,,,,,,,,,,,,,
,1319,-83.06734466552734,-82.05430603027344,-1013.0357055664062,6,,,,,,,,,,,,,
0.01,1339,,,,,,,,,,,,,,,,,
,1339,-252.5321044921875,-251.19329833984375,-1338.8004150390625,6,,,,,,,,,,,,,
,1351,,,,6,-6638.24169921875,-6598.21923828125,-40022.5078125,38.01823806762695,,,,,,,,,
0.01,1359,,,,,,,,,,,,,,,,,
,1359,-172.67198181152344,-171.4743194580078,-1197.669677734375,6,,,,,,,,,,,,,
0.01,1379,,,,,,,,,,,,,,,,,
,1379,-11.828076362609863,-10.714218139648438,-1113.85791015625,6,,,,,,,,,,,,,
0.01,1399,,,,,,,,,,,,,,,,,
,1399,-277.97869873046875,-276.7698974609375,-1208.810546875,6,,,,,,,,,,,,,
0.01,1419,,,,,,,,,,,,,,,,,
,1419,-333.4996643066406,-331.975830078125,-1523.83740234375,6,,,,,,,,,,,,,
0.01,1439,,,,,,,,,,,,,,,,,
,1439,-194.45497131347656,-193.2935791015625,-1161.39501953125,6,,,,,,,,,,,,,
,1455,,,,6,-6418.53515625,-6381.34619140625,-37188.3046875,38.05473709106445,,,,,,,,,
0.01,1459,,,,,,,,,,,,,,,,,
,1459,-261.94610595703125,-260.70648193359375,-1239.632080078125,7,,,,,,,,,,,,,
0.01,1479,,,,,,,,,,,,,,,,,
,1479,-274.72698974609375,-273.4585876464844,-1268.397216796875,7,,,,,,,,,,,,,
0.01,1499,,,,,,,,,,,,,,,,,
,1499,-366.0709228515625,-364.66473388671875,-1406.187744140625,7,,,,,,,,,,,,,
0.01,1519,,,,,,,,,,,,,,,,,
,1519,-150.01805114746094,-148.89498901367188,-1123.068359375,7,,,,,,,,,,,,,
0.01,1539,,,,,,,,,,,,,,,,,
,1539,-180.29232788085938,-178.7852020263672,-1507.123779296875,7,,,,,,,,,,,,,
0.01,1559,,,,,,,,,,,,,,,,,
,1559,-142.9729766845703,-141.71682739257812,-1256.1434326171875,7,,,,,,,,,,,,,
,1559,,,,7,-6882.99755859375,-6842.64404296875,-40354.00390625,37.303470611572266,,,,,,,,,
0.01,1579,,,,,,,,,,,,,,,,,
,1579,-14.424796104431152,-13.3621826171875,-1062.61328125,7,,,,,,,,,,,,,
0.01,1599,,,,,,,,,,,,,,,,,
,1599,-170.4998321533203,-169.25672912597656,-1243.103271484375,7,,,,,,,,,,,,,
0.01,1619,,,,,,,,,,,,,,,,,
,1619,-292.5947265625,-291.09259033203125,-1502.1490478515625,7,,,,,,,,,,,,,
0.01,1639,,,,,,,,,,,,,,,,,
